,TRIP_ID,CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,DAY_TYPE,MISSING_DATA,POLYLINE
16502,1399519052620000076,C,,,20000076,1399519052,A,False,"[[-8.61822, 41.160078], [-8.618877, 41.160321], [-8.620344, 41.160663], [-8.621073, 41.16096], [-8.620803, 41.162544], [-8.620839, 41.162643], [-8.620776, 41.162877], [-8.620668, 41.163804], [-8.620668, 41.163786], [-8.620677, 41.163786], [-8.621757, 41.164236], [-8.624403, 41.164443], [-8.625411, 41.164497], [-8.629119, 41.165037], [-8.632422, 41.164335], [-8.635545, 41.163993], [-8.639541, 41.164992], [-8.643051, 41.167962], [-8.646795, 41.171022], [-8.650674, 41.174199]]"
18152,1399540829620000030,A,3731.0,,20000030,1399540874,A,False,"[[-8.599905, 41.175063], [-8.59986, 41.174892], [-8.599581, 41.174406], [-8.598528, 41.17266], [-8.597529, 41.170788], [-8.597304, 41.169888], [-8.597322, 41.169888], [-8.597304, 41.169789], [-8.597511, 41.168304], [-8.598177, 41.167107], [-8.597358, 41.166783], [-8.597439, 41.166621], [-8.597745, 41.16618], [-8.598519, 41.165487], [-8.597538, 41.164875], [-8.597736, 41.163696], [-8.598006, 41.162346], [-8.598312, 41.160735], [-8.598555, 41.159574], [-8.598618, 41.159097], [-8.598663, 41.159061], [-8.598636, 41.159052], [-8.598645, 41.158899], [-8.598942, 41.157423], [-8.599284, 41.155704], [-8.599437, 41.154615], [-8.599635, 41.153634], [-8.599545, 41.153589], [-8.599761, 41.152473], [-8.60013, 41.151177], [-8.600265, 41.150745], [-8.600472, 41.149224], [-8.600418, 41.148936], [-8.600355, 41.1489], [-8.600391, 41.148837], [-8.601687, 41.149044], [-8.601831, 41.148981], [-8.602128, 41.149467]]"
19801,1399536681620000598,C,,,20000598,1399536681,A,False,"[[-8.607105, 41.162274], [-8.608293, 41.162436], [-8.608329, 41.162427], [-8.608608, 41.162472], [-8.609877, 41.162643], [-8.610039, 41.162643], [-8.610021, 41.162643], [-8.610048, 41.162643], [-8.611002, 41.162769], [-8.611002, 41.163921], [-8.610966, 41.164452], [-8.610957, 41.164443], [-8.610993, 41.164677], [-8.611425, 41.166216], [-8.611749, 41.167044], [-8.612028, 41.167674], [-8.612541, 41.16888], [-8.612685, 41.169123], [-8.612685, 41.169123]]"
21450,1399594649620000305,C,,,20000305,1399594649,A,False,"[[-8.614044, 41.146425], [-8.614044, 41.146479], [-8.613999, 41.146686], [-8.613882, 41.147037], [-8.613639, 41.147334], [-8.613378, 41.1471], [-8.613477, 41.146353], [-8.613018, 41.145858], [-8.611398, 41.146047], [-8.611083, 41.147487], [-8.611074, 41.147586], [-8.611056, 41.14791], [-8.610435, 41.149332], [-8.610066, 41.150628], [-8.610057, 41.150727], [-8.610084, 41.150745], [-8.609841, 41.151042], [-8.609922, 41.15196], [-8.609967, 41.153067], [-8.609868, 41.154093], [-8.609436, 41.155848], [-8.608923, 41.15799], [-8.607888, 41.160195], [-8.606403, 41.164083], [-8.606628, 41.166567], [-8.606493, 41.168889], [-8.604855, 41.170968], [-8.604711, 41.172795], [-8.605305, 41.173695], [-8.602731, 41.173695], [-8.600328, 41.174217], [-8.599932, 41.174523], [-8.599905, 41.175036]]"
23101,1399619919620000330,C,,,20000330,1399619919,A,False,"[[-8.613225, 41.154453], [-8.613252, 41.154363], [-8.613261, 41.154345], [-8.612685, 41.153751], [-8.611992, 41.154291], [-8.61192, 41.156073], [-8.610723, 41.15718], [-8.61039, 41.157198], [-8.610246, 41.157207], [-8.60895, 41.157801], [-8.60814, 41.159574], [-8.607762, 41.16033], [-8.606412, 41.163732], [-8.606394, 41.165613], [-8.60643, 41.166054], [-8.606475, 41.166945], [-8.606403, 41.168943], [-8.60571, 41.16996], [-8.605044, 41.170779], [-8.605035, 41.170779], [-8.605053, 41.17077], [-8.605062, 41.170761], [-8.604216, 41.17194], [-8.606628, 41.172831], [-8.60922, 41.174055], [-8.611668, 41.174505], [-8.612496, 41.174568], [-8.613828, 41.174523], [-8.61498, 41.174352], [-8.616609, 41.174109], [-8.618877, 41.173884], [-8.621946, 41.174073]]"
24750,1399642434620000114,B,,21.0,20000114,1399642434,A,False,"[[-8.628939, 41.160987], [-8.628156, 41.161473], [-8.627571, 41.163111], [-8.627436, 41.163255], [-8.6274, 41.163237], [-8.6274, 41.163624], [-8.627517, 41.164857], [-8.629515, 41.165091], [-8.631351, 41.164839], [-8.631756, 41.164632], [-8.633736, 41.163732], [-8.635995, 41.164245], [-8.636067, 41.164272], [-8.636076, 41.164263], [-8.636598, 41.164434], [-8.638578, 41.164794], [-8.639811, 41.165307], [-8.641908, 41.165073], [-8.642331, 41.165154], [-8.643465, 41.165325], [-8.646417, 41.165793], [-8.647272, 41.166], [-8.648946, 41.166216], [-8.649621, 41.166315], [-8.651844, 41.166639], [-8.653464, 41.166909], [-8.653608, 41.166927], [-8.654067, 41.166963], [-8.6553, 41.165901], [-8.655804, 41.164677], [-8.656119, 41.164281], [-8.656254, 41.164362], [-8.656245, 41.164371]]"
26400,1399663051620000662,B,,15.0,20000662,1399663051,A,False,"[[-8.585694, 41.148612], [-8.586099, 41.148999], [-8.587836, 41.149323], [-8.590212, 41.149944], [-8.592903, 41.150655], [-8.594037, 41.150952], [-8.594163, 41.150997], [-8.594622, 41.152176], [-8.595018, 41.15349], [-8.595342, 41.154453], [-8.595261, 41.154453], [-8.595333, 41.154435], [-8.595441, 41.154417], [-8.595342, 41.155056], [-8.595216, 41.155308], [-8.594586, 41.156352], [-8.593713, 41.15799], [-8.59293, 41.159205], [-8.592174, 41.160483], [-8.592192, 41.160492], [-8.591787, 41.161239], [-8.590923, 41.162337], [-8.59023, 41.163165], [-8.589735, 41.163741], [-8.589753, 41.163786], [-8.589753, 41.163813], [-8.589366, 41.164254], [-8.588592, 41.16609], [-8.587755, 41.167953], [-8.586477, 41.168898], [-8.584308, 41.168619], [-8.582427, 41.168457], [-8.582238, 41.167602], [-8.58222, 41.166639], [-8.580951, 41.165946], [-8.579421, 41.165406], [-8.579043, 41.165442], [-8.577999, 41.166405], [-8.576973, 41.167746], [-8.578287, 41.167737], [-8.578422, 41.167485], [-8.578422, 41.167485], [-8.578422, 41.167485], [-8.578485, 41.167449], [-8.57952, 41.16771], [-8.579736, 41.168763]]"
28050,1399687645620000542,B,,52.0,20000542,1399687645,A,False,"[[-8.613252, 41.154381], [-8.613279, 41.154336], [-8.613297, 41.154237], [-8.612388, 41.153805], [-8.6121, 41.154993], [-8.614107, 41.155398], [-8.617599, 41.156001], [-8.619903, 41.156334], [-8.620875, 41.156892], [-8.622468, 41.157936], [-8.624565, 41.159205], [-8.624547, 41.160582], [-8.624628, 41.162355], [-8.624745, 41.163147], [-8.62479, 41.163147], [-8.624799, 41.163156], [-8.624808, 41.163192], [-8.624853, 41.163858], [-8.624826, 41.164074], [-8.62497, 41.165217], [-8.625366, 41.166864], [-8.626113, 41.166936], [-8.626131, 41.166945], [-8.626149, 41.166936], [-8.626158, 41.166936], [-8.626419, 41.166954], [-8.628282, 41.167413], [-8.630271, 41.168169], [-8.631756, 41.169285], [-8.633178, 41.1696], [-8.635275, 41.169411], [-8.635914, 41.168943], [-8.636193, 41.168844], [-8.637399, 41.169672], [-8.637984, 41.169501], [-8.637912, 41.169519]]"
29700,1399706028620000373,B,,58.0,20000373,1399706028,A,False,"[[-8.60481, 41.16114], [-8.604846, 41.161077], [-8.604738, 41.160465], [-8.604603, 41.16042], [-8.603388, 41.160069], [-8.601291, 41.159466], [-8.599149, 41.158854], [-8.598978, 41.158818], [-8.598951, 41.158818], [-8.598924, 41.157927], [-8.599131, 41.156325], [-8.599392, 41.154642], [-8.599545, 41.153193], [-8.597511, 41.152581], [-8.597034, 41.152329], [-8.597034, 41.152329], [-8.597133, 41.152023], [-8.598078, 41.15043], [-8.599365, 41.149314], [-8.598618, 41.148459], [-8.598627, 41.148468], [-8.598627, 41.148477], [-8.59806, 41.147973], [-8.597682, 41.146812], [-8.597412, 41.146092], [-8.597448, 41.146083], [-8.597448, 41.146056], [-8.597025, 41.145939], [-8.596584, 41.145984], [-8.596503, 41.145975], [-8.596476, 41.145966], [-8.596377, 41.145975], [-8.596224, 41.14593], [-8.595756, 41.145885]]"
31350,1399742755620000305,A,2002.0,,20000305,1399742755,A,False,"[[-8.621064, 41.149836], [-8.622981, 41.150277], [-8.622954, 41.149386], [-8.622774, 41.148729], [-8.622747, 41.148063], [-8.621658, 41.147631], [-8.62065, 41.147451], [-8.620551, 41.146821], [-8.620236, 41.146218], [-8.619048, 41.146128], [-8.617887, 41.146326], [-8.617455, 41.145309], [-8.616438, 41.145111], [-8.615835, 41.145372], [-8.614791, 41.145777], [-8.613774, 41.14593], [-8.612442, 41.146065], [-8.612442, 41.145939], [-8.610849, 41.145858], [-8.610867, 41.145228], [-8.610876, 41.145273], [-8.610777, 41.144679], [-8.610534, 41.143743], [-8.610408, 41.143185], [-8.61039, 41.143176], [-8.610381, 41.143185]]"
